catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,gnu_canonical,iconvex,sources,source_ids,source_urls,statuses,descriptions,record_count,implementation_disposition
ENC-0034,Audio Data Syntax of CCITT Rec. T.101,ISO-IR-161,iso_ir_coding_system,high,no,,no,iso_ir,iso_ir:ISO-IR-161,https://itscj.ipsj.or.jp/ir/161.pdf,registered_historical,Audio Data Syntax of CCITT Rec. T.101,1,non_text_coding_system
ENC-0035,Bangladesh Standard Code for Information Interchange,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 76409395,https://en.wikipedia.org/wiki/Bangladesh_Standard_Code_for_Information_Interchange,,,1,research_candidate
ENC-0036,base 45,,wikidata_characterencoding,medium,no,,no,wikidata,wikidata:Q113486955,https://www.wikidata.org/wiki/Q113486955,,encoding scheme,1,binary_transform
ENC-0037,base64-codec,base-64 | base64,python_codec,medium,no,,no,python,python:base64_codec,https://docs.python.org/3/library/codecs.html#standard-encodings,,,1,binary_transform
ENC-0038,Basic Box Drawings Set,ISO-IR-155,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-155,https://itscj.ipsj.or.jp/ir/155.pdf,registered_historical,Basic Box Drawings Set,1,implemented
ENC-0039,Basic Cyrillic Character Set for 8-bit Codes,ISO-IR-153,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-153,https://itscj.ipsj.or.jp/ir/153.pdf,registered_historical,Basic Cyrillic Character Set for 8-bit Codes,1,implemented
ENC-0040,"Basic Cyrillic Character Set, ECMA (Cii Honeywell-Bull) and ISO 5427",ISO-IR-37,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-37,https://itscj.ipsj.or.jp/ir/037.pdf,registered_historical,"Basic Cyrillic Character Set, ECMA (Cii Honeywell-Bull) and ISO 5427",1,implemented
ENC-0041,Baudot code,,telegraph_code | wikipedia_character_set_page,medium,no,,yes,wikipedia | supplement,wikipedia:pageid 4748 | supplement:Baudot code,https://en.wikipedia.org/wiki/Baudot_code,historical,Original five-bit telegraph code; distinct revisions and derivatives exist.,2,implemented
ENC-0042,Baudot code / ITA1,,historical_information_system_encoding,medium,no,,yes,wikipedia_historical,wikipedia_historical:Baudot code / ITA1,https://en.wikipedia.org/wiki/List_of_information_system_character_sets,historical_inventory,"Introduced 1870; width 5 bits; Piano-like telegraph operation, SIGCUM cipher operation",1,implemented
ENC-0043,BCD (character encoding),BCD,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 29603924,https://en.wikipedia.org/wiki/BCD_%28character_encoding%29,,,1,research_candidate
ENC-0044,BCDIC,,historical_information_system_encoding,medium,no,,no,wikipedia_historical,wikipedia_historical:BCDIC,https://en.wikipedia.org/wiki/List_of_information_system_character_sets,historical_inventory,Introduced 1928; width 6 bits; Introduced with the IBM card,1,encoding_family
ENC-0045,bestfit1250,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1250,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1250.txt,mapping_archive,,1,implemented
ENC-0046,bestfit1251,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1251,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1251.txt,mapping_archive,,1,implemented
ENC-0047,bestfit1252,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1252,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1252.txt,mapping_archive,,1,implemented
ENC-0048,bestfit1253,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1253,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1253.txt,mapping_archive,,1,implemented
ENC-0049,bestfit1254,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1254,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1254.txt,mapping_archive,,1,implemented
ENC-0050,bestfit1255,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1255,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1255.txt,mapping_archive,,1,implemented
ENC-0051,bestfit1256,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1256,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1256.txt,mapping_archive,,1,implemented
ENC-0052,bestfit1257,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1257,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1257.txt,mapping_archive,,1,implemented
ENC-0053,bestfit1258,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1258,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1258.txt,mapping_archive,,1,implemented
ENC-0054,bestfit1361,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1361,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1361.txt,mapping_archive,,1,implemented
ENC-0055,bestfit874,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit874,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit874.txt,mapping_archive,,1,implemented
ENC-0056,bestfit932,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit932,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit932.txt,mapping_archive,,1,implemented
ENC-0057,bestfit936,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit936,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit936.txt,mapping_archive,,1,implemented
ENC-0058,bestfit949,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit949,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit949.txt,mapping_archive,,1,implemented
ENC-0059,bestfit950,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit950,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit950.txt,mapping_archive,,1,implemented
ENC-0066,Big5hk,,wikipedia_character_set_page,candidate,no,,yes,wikipedia,wikipedia:pageid 52504591,https://en.wikipedia.org/wiki/Big5hk,,,1,implemented
ENC-0067,Bitstream International Character Set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,,no,wikidata | wikipedia,wikidata:Q30694105 | wikipedia:pageid 54274255,https://www.wikidata.org/wiki/Q30694105 | https://en.wikipedia.org/wiki/Bitstream_International_Character_Set,,multi-byte character set by Bitstream,2,codec_gap
ENC-0068,Blissymbol Graphic Character Set,ISO-IR-169,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-169,https://itscj.ipsj.or.jp/ir/169.pdf,registered_historical,Blissymbol Graphic Character Set,1,implemented
ENC-0069,BOCU-1,Binary Ordered Compression for Unicode | csBOCU-1 | csBOCU1 | ibm-1214 | ibm-1215,iana_registered_charset | icu_converter | wikipedia_character_set_page,high,no,,yes,iana | icu | wikipedia,iana:MIBenum 1020 | icu:BOCU-1 | wikipedia:pageid 1552730 | wikipedia:pageid 2461738,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://en.wikipedia.org/wiki/Binary_Ordered_Compression_for_Unicode | https://en.wikipedia.org/wiki/BOCU-1,,[http://www.unicode.org/notes/tn6/],4,implemented
ENC-0070,Bookshelf Symbol 7,,wikidata_dingbattypeface,medium,no,,no,wikidata,wikidata:Q893015,https://www.wikidata.org/wiki/Q893015,,"pi font encoding IPA characters, rare kanji etc. that shipped with Microsoft Office 2003",1,font_identity
ENC-0071,Box-drawing characters,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 1295471,https://en.wikipedia.org/wiki/Box-drawing_characters,,,1,research_candidate
ENC-0072,Braille,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 3933,https://en.wikipedia.org/wiki/Braille,,,1,research_candidate
ENC-0073,Braille ASCII,SimBraille,braille_encoding | historical_information_system_encoding,medium,no,,yes,wikipedia_historical | supplement,wikipedia_historical:Braille ASCII | supplement:Braille ASCII,https://en.wikipedia.org/wiki/List_of_information_system_character_sets | https://en.wikipedia.org/wiki/Braille_ASCII,historical | historical_inventory,Introduced 1969; width 6/7 bits; Tactile print for blind persons | ASCII mapping for six-dot braille patterns.,2,implemented
ENC-0074,Braille code,six-dot braille,tactile_character_code,medium,no,,no,supplement,supplement:Braille code,https://en.wikipedia.org/wiki/Braille,historical_adjacent,Tactile dot-pattern code identified in character-encoding histories.,1,writing_system
ENC-0075,BraSCII,ABNT | ABNT-BRASCII | BRA-SCII | BRAZIL-ABNT | BRAZIL-ABNT-3847 | CODE-PAGE-3847 | CP3847 | NBR-9611 | NBR-9611:1991 | NBR-9614 | NBR-9614:1986,single_byte_character_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,,yes,wikidata | wikipedia | supplement,wikidata:Q9642584 | wikipedia:pageid 53292599 | supplement:BraSCII,https://www.wikidata.org/wiki/Q9642584 | https://en.wikipedia.org/wiki/BraSCII | https://files.support.epson.com/pdf/sc200_/sc200_u1.pdf,primary_source_exact_mapping,"Brazilian character encoding | Complete NBR-9611 BraSCII / code-page-3847 octet mapping from Epson sc200_u1.pdf, independently confirmed by Star 2525457.pdf; C0 and C1 use the explicitly documented Unicode-identity text transport policy.",3,implemented
ENC-0076,BRF,csBRF,glibc_gconv_codec | iana_registered_charset,high,no,,yes,iana | glibc,iana:MIBenum 2106 | glibc:BRF,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html,glibc_current_source,See [https://www.iana.org/assignments/charset-reg/BRF] [Samuel_Thibault],2,implemented
ENC-0077,BRITISH,,national_replacement_set,medium,no,,yes,kermit,kermit:BRITISH,https://www.kermitproject.org/k95charsets.html,legacy_implementation,ISO 646 British version,1,implemented
ENC-0078,BS_4730,csISO4UnitedKingdom | gb | iso-ir-4 | ISO646-GB | uk,glibc_gconv_codec | iana_registered_charset | rfc1345_charset,high,no,,yes,iana | glibc | rfc1345,iana:MIBenum 20 | glibc:BS_4730 | rfc1345:BS_4730,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html | https://www.rfc-editor.org/rfc/rfc1345.html,glibc_current_source | historical_registry,"[ISO-IR: International Register of Escape Sequences] Note: The current registration authority is IPSJ/ITSCJ, Japan.",3,implemented
ENC-0079,BS_viewdata,csISO47BSViewdata | iso-ir-47,iana_registered_charset | rfc1345_charset,high,no,,yes,iana | rfc1345,iana:MIBenum 50 | rfc1345:BS_viewdata,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://www.rfc-editor.org/rfc/rfc1345.html,historical_registry,"[ISO-IR: International Register of Escape Sequences] Note: The current registration authority is IPSJ/ITSCJ, Japan.",2,implemented
ENC-0080,BSCII,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 76409398,https://en.wikipedia.org/wiki/BSCII,,,1,research_candidate
ENC-0081,BULGARIA-PC,,pc_code_page,medium,no,,yes,kermit,kermit:BULGARIA-PC,https://www.kermitproject.org/k95charsets.html,legacy_implementation,Bulgaria Cyrillic PC Code Page,1,implemented
ENC-0082,bz2-codec,bz2,python_codec,medium,no,,no,python,python:bz2_codec,https://docs.python.org/3/library/codecs.html#standard-encodings,,,1,compression_transform
ENC-0084,Caret notation,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 2265038,https://en.wikipedia.org/wiki/Caret_notation,,,1,research_candidate
ENC-0085,Cariadings,,wikidata_dingbattypeface,medium,no,,no,wikidata,wikidata:Q25558238,https://www.wikidata.org/wiki/Q25558238,,Microsoft Cleartype dingbat typeface,1,font_identity
ENC-0086,Casio calculator character sets,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,,no,wikidata | wikipedia,wikidata:Q30693953 | wikipedia:pageid 54221610,https://www.wikidata.org/wiki/Q30693953 | https://en.wikipedia.org/wiki/Casio_calculator_character_sets,,character sets used by Casio computers,2,encoding_family
ENC-0087,CCIR 476,CCIR-476 | NAVTEX | SITOR | SITOR-B,maritime_telegraph_code | wikidata_characterencoding | wikipedia_character_set_page,high,no,,yes,wikidata | wikipedia | supplement,wikidata:Q85749828 | wikipedia:pageid 62089600 | supplement:CCIR 476,https://www.wikidata.org/wiki/Q85749828 | https://en.wikipedia.org/wiki/CCIR_476 | https://www.itu.int/rec/R-REC-M.476/en,official_specification,character encoding used in radio data protocols | Seven-unit constant-weight direct-printing telegraph code.,3,implemented
ENC-0088,CCITT 2,,wikipedia_character_set_page,candidate,no,,yes,wikipedia,wikipedia:pageid 53850148,https://en.wikipedia.org/wiki/CCITT_2,,,1,implemented
ENC-0089,CCITT Hebrew Supplementary Set,ISO-IR-164,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-164,https://itscj.ipsj.or.jp/ir/164.pdf,registered_historical,CCITT Hebrew Supplementary Set,1,implemented
ENC-0090,CDC display code,CDC-6-12-DISPLAY-CODE-63 | CDC-6-12-DISPLAY-CODE-64 | CDC-6000-DISPLAY-CODE | CDC-CYBER-DISPLAY-CODE | CDC-DISPLAY-CODE | CDC-DISPLAY-CODE-63 | CDC-DISPLAY-CODE-64 | CDC-DISPLAY-CODE-ASCII-63 | CDC-DISPLAY-CODE-ASCII-64 | CDC612-DISPLAY-CODE,historical_information_system_encoding | six_bit_character_code | wikidata_characterencoding | wikipedia_character_set_page,high,no,,yes,wikidata | wikipedia_historical | wikipedia | supplement,wikidata:Q5009913 | wikipedia_historical:CDC display code | wikipedia:pageid 4488830 | supplement:CDC display code,https://www.wikidata.org/wiki/Q5009913 | https://en.wikipedia.org/wiki/List_of_information_system_character_sets | https://en.wikipedia.org/wiki/CDC_display_code | https://bitsavers.org/pdf/cdc/cyber/nos/60435600L_NOS_Version_1_Operators_Guide_May1980.pdf,historical_inventory | vendor_manual,"computer 6-bit character code | Introduced 1963; width 6 bits; Control Data Corporation computers | CDC NOS Display Code with the complete CDC/ASCII graphic tables, documented 63/64-character colon/percent anomaly, and all 128 ASCII-to-6/12 conversions on printed pages A-1 through A-7.",4,implemented
ENC-0091,CDC punched-card BCD,BCD-CDC,historical_punched_card_encoding,medium,no,,no,punched_cards,punched_cards:CDC punched-card BCD,https://homepage.cs.uiowa.edu/~jones/cards/codes.html,historical_inventory,,1,codec_gap
ENC-0092,CDC punched-card BCD (Iowa reconstruction),BCD-CDC-IOWA | BCD-CDC-IOWA-RECONSTRUCTED,source_qualified_punched_card_encoding,medium,no,,yes,supplement,supplement:CDC punched-card BCD (Iowa reconstruction),https://homepage.cs.uiowa.edu/~jones/cards/codes.html,secondary_historical_source_exact_reconstruction,The complete internally one-to-one 64-character table reconstructed by Douglas W. Jones; the source-qualified name deliberately does not claim the generic BCD-CDC identity.,1,implemented
ENC-0093,CDC-167-BCD-HOLLERITH-1965,CDC 166-series BCD Hollerith | CDC 167-2 BCD Hollerith,punched_card_encoding,high,no,,yes,supplement,supplement:CDC-167-BCD-HOLLERITH-1965,https://www.bitsavers.org/pdf/cdc/160/options/60022000D_167-2_Card_Reader_Reference_196502.pdf,primary_historical_manual,The 63-character 166-series/167-2 BCD-to-Hollerith translator profile documented in 1965.,1,implemented
ENC-0094,CDC-6000-STANDARD-HOLLERITH-1970,CDC 6000 Standard Hollerith 1970,punched_card_encoding,high,no,,yes,supplement,supplement:CDC-6000-STANDARD-HOLLERITH-1970,https://bitsavers.org/pdf/cdc/graphics/44616800-03_Interactive_Graphics_System_Prelim_Ref_197001.pdf,primary_historical_manual,The 63-character Standard 6000 Hollerith profile and its two documented alternate punches.,1,implemented
ENC-0095,CER-GS,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 53321435,https://en.wikipedia.org/wiki/CER-GS,,,1,research_candidate
