catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,gnu_canonical,iconvex,sources,source_ids,source_urls,statuses,descriptions,record_count,implementation_disposition
ENC-0032,ATARIST,ATARI,gnu_fixed_codec | unicode_mapping_table,high,yes,ATARIST,yes,gnu_libiconv | unicode_mappings,gnu_libiconv:atarist | unicode_mappings:MISC/ATARIST,https://www.gnu.org/software/libiconv/ | https://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/ATARIST.TXT,fixed_codec | mapping_archive,,2,implemented
ENC-0033,ATASCII,ATARI ASCII,legacy_computer_encoding | wikipedia_character_set_page,medium,no,,yes,wikipedia | supplement,wikipedia:pageid 560142 | supplement:ATASCII,https://en.wikipedia.org/wiki/ATASCII,historical,Atari 8-bit computer character encoding.,2,implemented
ENC-0034,Audio Data Syntax of CCITT Rec. T.101,ISO-IR-161,iso_ir_coding_system,high,no,,no,iso_ir,iso_ir:ISO-IR-161,https://itscj.ipsj.or.jp/ir/161.pdf,registered_historical,Audio Data Syntax of CCITT Rec. T.101,1,non_text_coding_system
ENC-0035,Bangladesh Standard Code for Information Interchange,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 76409395,https://en.wikipedia.org/wiki/Bangladesh_Standard_Code_for_Information_Interchange,,,1,research_candidate
ENC-0036,base 45,,wikidata_characterencoding,medium,no,,no,wikidata,wikidata:Q113486955,https://www.wikidata.org/wiki/Q113486955,,encoding scheme,1,binary_transform
ENC-0037,base64-codec,base-64 | base64,python_codec,medium,no,,no,python,python:base64_codec,https://docs.python.org/3/library/codecs.html#standard-encodings,,,1,binary_transform
ENC-0038,Basic Box Drawings Set,ISO-IR-155,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-155,https://itscj.ipsj.or.jp/ir/155.pdf,registered_historical,Basic Box Drawings Set,1,implemented
ENC-0039,Basic Cyrillic Character Set for 8-bit Codes,ISO-IR-153,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-153,https://itscj.ipsj.or.jp/ir/153.pdf,registered_historical,Basic Cyrillic Character Set for 8-bit Codes,1,implemented
ENC-0040,"Basic Cyrillic Character Set, ECMA (Cii Honeywell-Bull) and ISO 5427",ISO-IR-37,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-37,https://itscj.ipsj.or.jp/ir/037.pdf,registered_historical,"Basic Cyrillic Character Set, ECMA (Cii Honeywell-Bull) and ISO 5427",1,implemented
ENC-0041,Baudot code,,telegraph_code | wikipedia_character_set_page,medium,no,,yes,wikipedia | supplement,wikipedia:pageid 4748 | supplement:Baudot code,https://en.wikipedia.org/wiki/Baudot_code,historical,Original five-bit telegraph code; distinct revisions and derivatives exist.,2,implemented
ENC-0042,Baudot code / ITA1,,historical_information_system_encoding,medium,no,,yes,wikipedia_historical,wikipedia_historical:Baudot code / ITA1,https://en.wikipedia.org/wiki/List_of_information_system_character_sets,historical_inventory,"Introduced 1870; width 5 bits; Piano-like telegraph operation, SIGCUM cipher operation",1,implemented
ENC-0043,BCD (character encoding),BCD,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 29603924,https://en.wikipedia.org/wiki/BCD_%28character_encoding%29,,,1,research_candidate
ENC-0044,BCDIC,,historical_information_system_encoding,medium,no,,no,wikipedia_historical,wikipedia_historical:BCDIC,https://en.wikipedia.org/wiki/List_of_information_system_character_sets,historical_inventory,Introduced 1928; width 6 bits; Introduced with the IBM card,1,encoding_family
ENC-0045,bestfit1250,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1250,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1250.txt,mapping_archive,,1,implemented
ENC-0046,bestfit1251,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1251,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1251.txt,mapping_archive,,1,implemented
ENC-0047,bestfit1252,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1252,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1252.txt,mapping_archive,,1,implemented
ENC-0048,bestfit1253,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1253,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1253.txt,mapping_archive,,1,implemented
ENC-0049,bestfit1254,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1254,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1254.txt,mapping_archive,,1,implemented
ENC-0050,bestfit1255,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1255,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1255.txt,mapping_archive,,1,implemented
ENC-0051,bestfit1256,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1256,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1256.txt,mapping_archive,,1,implemented
ENC-0052,bestfit1257,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1257,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1257.txt,mapping_archive,,1,implemented
ENC-0053,bestfit1258,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1258,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1258.txt,mapping_archive,,1,implemented
ENC-0054,bestfit1361,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit1361,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit1361.txt,mapping_archive,,1,implemented
ENC-0055,bestfit874,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit874,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit874.txt,mapping_archive,,1,implemented
ENC-0056,bestfit932,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit932,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit932.txt,mapping_archive,,1,implemented
ENC-0057,bestfit936,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit936,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit936.txt,mapping_archive,,1,implemented
ENC-0058,bestfit949,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit949,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit949.txt,mapping_archive,,1,implemented
ENC-0059,bestfit950,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MICSFT/bestfit950,https://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WindowsBestFit/bestfit950.txt,mapping_archive,,1,implemented
ENC-0060,Big5,BIG-5 | BIG-FIVE | big5-hkscs | big5-tw | BIGFIVE | cn-big5 | CP950 | csBig5 | ms950 | windows-950 | windows-950-2000 | x-big5 | x-mac-trad-chinese | x-windows-950 | x-x-big5,glibc_gconv_codec | gnu_fixed_codec | iana_registered_charset | icu_converter | microsoft_code_page | openjdk_charset | python_codec | unicode_mapping_table | web_encoding | wikidata_variablewidthcharacterencoding | wikipedia_character_set_page,high,yes,BIG5,yes,iana | whatwg | gnu_libiconv | glibc | icu | openjdk | microsoft | unicode_mappings | python | wikidata | wikipedia,iana:MIBenum 2026 | whatwg:Legacy multi-byte Chinese (traditional) encodings | gnu_libiconv:ces_big5 | glibc:BIG5 | icu:windows-950-2000 | openjdk:Big5 | microsoft:CP 950 | unicode_mappings:OBSOLETE/BIG5 | python:big5 | wikidata:Q858372 | wikipedia:pageid 152625,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://encoding.spec.whatwg.org/ | https://www.gnu.org/software/libiconv/ | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://raw.githubusercontent.com/openjdk/jdk/master/make/data/charsetmapping/charsets | https://learn.microsoft.com/en-us/windows/win32/intl/code-page-identifiers | https://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/BIG5.TXT | https://docs.python.org/3/library/codecs.html#standard-encodings | https://www.wikidata.org/wiki/Q858372 | https://en.wikipedia.org/wiki/Big5,fixed_codec | glibc_current_source | mapping_archive | openjdk_current_source,"Chinese for Taiwan Multi-byte set. PCL Symbol Set Id: 18T | ANSI/OEM Traditional Chinese (Taiwan; Hong Kong SAR, PRC); Chinese Traditional (Big5) | Chinese character encoding method for traditional characters used in Taiwan, Hong Kong, and Macau",11,implemented
ENC-0061,BIG5-2003,,gnu_fixed_codec,high,yes,BIG5-2003,yes,gnu_libiconv,gnu_libiconv:big5_2003,https://www.gnu.org/software/libiconv/,fixed_codec,,1,implemented
ENC-0062,Big5-HKSCS,BIG5-HKSCS:2008 | big5-hkscs:unicode3.0 | Big5_HKSCS | big5hk | BIG5HKSCS | csBig5HKSCS | hkbig5 | hkscs | HKSCS-2008 | HKSCS-BIG5 | ibm-1375 | ibm-1375_P100-2008 | ibm-5471 | ibm-5471_P100-2006 | MS950_HKSCS | x-MS950-HKSCS,glibc_gconv_codec | gnu_fixed_codec | iana_registered_charset | icu_converter | openjdk_charset | python_codec | wikipedia_character_set_page,high,yes,BIG5-HKSCS,yes,iana | gnu_libiconv | glibc | icu | openjdk | python | wikipedia,iana:MIBenum 2101 | gnu_libiconv:big5hkscs2008 | glibc:BIG5HKSCS | icu:ibm-1375_P100-2008 | icu:ibm-5471_P100-2006 | openjdk:Big5_HKSCS | python:big5hkscs | wikipedia:pageid 52504742,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://www.gnu.org/software/libiconv/ | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://raw.githubusercontent.com/openjdk/jdk/master/make/data/charsetmapping/charsets | https://docs.python.org/3/library/codecs.html#standard-encodings | https://en.wikipedia.org/wiki/HKSCS-2008,fixed_codec | glibc_current_source | openjdk_current_source,See [https://www.iana.org/assignments/charset-reg/Big5-HKSCS],8,implemented
ENC-0063,BIG5-HKSCS:1999,HKSCS-1999,gnu_fixed_codec | wikipedia_character_set_page,high,yes,BIG5-HKSCS:1999,yes,gnu_libiconv | wikipedia,gnu_libiconv:big5hkscs1999 | wikipedia:pageid 52504738,https://www.gnu.org/software/libiconv/ | https://en.wikipedia.org/wiki/HKSCS-1999,fixed_codec,,2,implemented
ENC-0064,BIG5-HKSCS:2001,big5-hkscs-2001 | big5-hkscs:unicode3.0 | Big5_HKSCS_2001 | big5hk-2001 | big5hkscs-2001 | HKSCS-2001 | x-Big5-HKSCS-2001,gnu_fixed_codec | openjdk_charset | wikipedia_character_set_page,high,yes,BIG5-HKSCS:2001,yes,gnu_libiconv | openjdk | wikipedia,gnu_libiconv:big5hkscs2001 | openjdk:Big5_HKSCS_2001 | wikipedia:pageid 52504737,https://www.gnu.org/software/libiconv/ | https://raw.githubusercontent.com/openjdk/jdk/master/make/data/charsetmapping/charsets | https://en.wikipedia.org/wiki/HKSCS-2001,fixed_codec | openjdk_current_source,,3,implemented
ENC-0065,BIG5-HKSCS:2004,HKSCS-2004,gnu_fixed_codec | wikipedia_character_set_page,high,yes,BIG5-HKSCS:2004,yes,gnu_libiconv | wikipedia,gnu_libiconv:big5hkscs2004 | wikipedia:pageid 52504741,https://www.gnu.org/software/libiconv/ | https://en.wikipedia.org/wiki/HKSCS-2004,fixed_codec,,2,implemented
ENC-0066,Big5hk,,wikipedia_character_set_page,candidate,no,,yes,wikipedia,wikipedia:pageid 52504591,https://en.wikipedia.org/wiki/Big5hk,,,1,implemented
ENC-0067,Bitstream International Character Set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,,no,wikidata | wikipedia,wikidata:Q30694105 | wikipedia:pageid 54274255,https://www.wikidata.org/wiki/Q30694105 | https://en.wikipedia.org/wiki/Bitstream_International_Character_Set,,multi-byte character set by Bitstream,2,codec_gap
ENC-0068,Blissymbol Graphic Character Set,ISO-IR-169,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-169,https://itscj.ipsj.or.jp/ir/169.pdf,registered_historical,Blissymbol Graphic Character Set,1,implemented
ENC-0069,BOCU-1,Binary Ordered Compression for Unicode | csBOCU-1 | csBOCU1 | ibm-1214 | ibm-1215,iana_registered_charset | icu_converter | wikipedia_character_set_page,high,no,,yes,iana | icu | wikipedia,iana:MIBenum 1020 | icu:BOCU-1 | wikipedia:pageid 1552730 | wikipedia:pageid 2461738,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://en.wikipedia.org/wiki/Binary_Ordered_Compression_for_Unicode | https://en.wikipedia.org/wiki/BOCU-1,,[http://www.unicode.org/notes/tn6/],4,implemented
ENC-0070,Bookshelf Symbol 7,,wikidata_dingbattypeface,medium,no,,no,wikidata,wikidata:Q893015,https://www.wikidata.org/wiki/Q893015,,"pi font encoding IPA characters, rare kanji etc. that shipped with Microsoft Office 2003",1,font_identity
ENC-0071,Box-drawing characters,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 1295471,https://en.wikipedia.org/wiki/Box-drawing_characters,,,1,research_candidate
ENC-0072,Braille,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 3933,https://en.wikipedia.org/wiki/Braille,,,1,research_candidate
ENC-0073,Braille ASCII,SimBraille,braille_encoding | historical_information_system_encoding,medium,no,,yes,wikipedia_historical | supplement,wikipedia_historical:Braille ASCII | supplement:Braille ASCII,https://en.wikipedia.org/wiki/List_of_information_system_character_sets | https://en.wikipedia.org/wiki/Braille_ASCII,historical | historical_inventory,Introduced 1969; width 6/7 bits; Tactile print for blind persons | ASCII mapping for six-dot braille patterns.,2,implemented
ENC-0074,Braille code,six-dot braille,tactile_character_code,medium,no,,no,supplement,supplement:Braille code,https://en.wikipedia.org/wiki/Braille,historical_adjacent,Tactile dot-pattern code identified in character-encoding histories.,1,writing_system
ENC-0075,BraSCII,ABNT | ABNT-BRASCII | BRA-SCII | BRAZIL-ABNT | BRAZIL-ABNT-3847 | CODE-PAGE-3847 | CP3847 | NBR-9611 | NBR-9611:1991 | NBR-9614 | NBR-9614:1986,single_byte_character_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,,yes,wikidata | wikipedia | supplement,wikidata:Q9642584 | wikipedia:pageid 53292599 | supplement:BraSCII,https://www.wikidata.org/wiki/Q9642584 | https://en.wikipedia.org/wiki/BraSCII | https://files.support.epson.com/pdf/sc200_/sc200_u1.pdf,primary_source_exact_mapping,"Brazilian character encoding | Complete NBR-9611 BraSCII / code-page-3847 octet mapping from Epson sc200_u1.pdf, independently confirmed by Star 2525457.pdf; C0 and C1 use the explicitly documented Unicode-identity text transport policy.",3,implemented
ENC-0076,BRF,csBRF,glibc_gconv_codec | iana_registered_charset,high,no,,yes,iana | glibc,iana:MIBenum 2106 | glibc:BRF,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html,glibc_current_source,See [https://www.iana.org/assignments/charset-reg/BRF] [Samuel_Thibault],2,implemented
ENC-0077,BRITISH,,national_replacement_set,medium,no,,yes,kermit,kermit:BRITISH,https://www.kermitproject.org/k95charsets.html,legacy_implementation,ISO 646 British version,1,implemented
ENC-0078,BS_4730,csISO4UnitedKingdom | gb | iso-ir-4 | ISO646-GB | uk,glibc_gconv_codec | iana_registered_charset | rfc1345_charset,high,no,,yes,iana | glibc | rfc1345,iana:MIBenum 20 | glibc:BS_4730 | rfc1345:BS_4730,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html | https://www.rfc-editor.org/rfc/rfc1345.html,glibc_current_source | historical_registry,"[ISO-IR: International Register of Escape Sequences] Note: The current registration authority is IPSJ/ITSCJ, Japan.",3,implemented
